George Washington, 1732-02-22, 1799-12-14, https://en.wikipedia.org/wiki/George_Washington
Abraham Lincoln, 1809-02-12, 1865-04-15, https://en.wikipedia.org/wiki/Abraham_Lincoln
Wolfgang Amadeus Mozart, 1756-01-27, 1791-12-05, https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart
Jimi Hendrix, 1942-11-27, 1970-09-18, https://en.wikipedia.org/wiki/Jimi_Hendrix
Anne Frank, 1929-06-12, 1945-03-01, https://en.wikipedia.org/wiki/Anne_Frank
Kurt Cobain, 1967-02-20, 1994-04-05, https://en.wikipedia.org/wiki/Kurt_Cobain
Len Bias, 1963-11-18, 1986-06-19, https://en.wikipedia.org/wiki/Len_Bias
Martin Luther King Jr, 1957-01-10, 1968-04-04, https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.
Elvis Presley, 1935-01-08, 1977-08-16, https://en.wikipedia.org/wiki/Elvis_Presley
Jerry Garcia, 1942-08-01, 1995-08-09, https://en.wikipedia.org/wiki/Jerry_Garcia
John Lennon, 1940-10-09, 1980-12-08, https://en.wikipedia.org/wiki/John_Lennon
John F. Kennedy, 1961-01-20, 1963-11-22, https://en.wikipedia.org/wiki/John_F._Kennedy
Robert Craig 'Evel' Knievel, 1938-10-17, 2007-11-30, https://en.wikipedia.org/wiki/Evel_Knievel
Sharon Tate, 1943-01-24, 1969-08-09, https://en.wikipedia.org/wiki/Sharon_Tate
James Dean, 1931-02-08, 1955-09-30, https://en.wikipedia.org/wiki/James_Dean
Al Capone, 1899-01-17, 1947-01-25, https://en.wikipedia.org/wiki/Al_Capone
River Phoenix, 1970-08-23, 1993-10-31, https://en.wikipedia.org/wiki/River_Phoenix
Diana Frances Spencer, 1961-07-01, 1997-08-31, https://en.wikipedia.org/wiki/Diana_Princess_of_Wales
Steve Irwin, 1962-02-22, 2006-09-04, https://en.wikipedia.org/wiki/Steve_Irwin
Stevie Ray Vaughan, 1954-10-03, 1990-08-27, https://en.wikipedia.org/wiki/Stevie_Ray_Vaughan
Heath Ledger, 1979-04-04, 2008-01-22, https://en.wikipedia.org/wiki/Heath_Ledger
Hank Williams, 1923-09-17, 1953-01-01, https://en.wikipedia.org/wiki/Hank_Williams
Jim Morrison, 1943-12-08, 1971-07-03, https://en.wikipedia.org/wiki/Jim_Morrison
Otis Redding, 1941-09-09, 1967-12-10, https://en.wikipedia.org/wiki/Otis_Redding
Buddy Holly, 1936-09-07, 1959-02-03, https://en.wikipedia.org/wiki/Buddy_Holly
Paul Walker, 1973-09-12, 2013-11-30, https://en.wikipedia.org/wiki/Paul_Walker
Ritchie Valens, 1941-05-13, 1959-02-03, https://en.wikipedia.org/wiki/Ritchie_Valens
Janis Joplin, 1943-01-19, 1970-10-04, https://en.wikipedia.org/wiki/Janis_Joplin
Andy Gibb, 1958-03-05, 1988-03-10, https://en.wikipedia.org/wiki/Andy_Gibb
Bob Marley, 1945-02-06, 1981-05-11, https://en.wikipedia.org/wiki/Bob_Marley
Jim Croce, 1943-01-10, 1973-09-20, https://en.wikipedia.org/wiki/Jim_Croce
Bruce Lee, 1940-11-27, 1973-07-20, https://en.wikipedia.org/wiki/Bruce_Lee
Robert Johnson, 1911-05-08, 1938-08-16, https://en.wikipedia.org/wiki/Robert_Johnson
John Belushi, 1949-01-24, 0982-03-05, https://en.wikipedia.org/wiki/John_Belushi
Sid Vicious, 1957-05-10, 1979-02-02, https://en.wikipedia.org/wiki/Sid_Vicious
Marilyn Monroe, 1926-06-01, 1962-08-04, https://en.wikipedia.org/wiki/Marilyn_Monroe
George Gershwin, 1898-09-26, 1937-07-11, https://en.wikipedia.org/wiki/George_Gershwin
Felix Mendelssohn, 1809-02-03, 1847-11-04, https://en.wikipedia.org/wiki/Felix_Mendelssohn
Frederic Chopin, 1810-03-01, 1849-10-17, https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin
Franz Schubert, 1797-01-31, 1828-11-19, https://en.wikipedia.org/wiki/Franz_Schubert
Robert Wadlow, 1918-02-22, 1940-07-15, https://en.wikipedia.org/wiki/Robert_Wadlow
Rudolph Valentino, 1895-05-06, 1926-08-23, https://en.wikipedia.org/wiki/Rudolph_Valentino
Tupac Shakur, 1971-06-16, 1996-09-13, https://en.wikipedia.org/wiki/Tupac_Shakur
Christopher George Latore Wallace ("The Notorious B.I.G."), 1972-05-21, 1997-03-09, https://en.wikipedia.org/wiki/The_Notorious_B.I.G.
Duane Allman, 1946-11-20, 1971-10-29, https://en.wikipedia.org/wiki/Duane_Allman
John Keats, 1795-10-31, 1821-02-23, https://en.wikipedia.org/wiki/John_Keats
Randy Rhoads, 1956-12-06, 1982-03-19, https://en.wikipedia.org/wiki/Randy_Rhoads
Freddie Mercury, 1946-09-05, 1991-11-24, https://en.wikipedia.org/wiki/Freddie_Mercury
Vincent van Gogh, 1853-03-30, 1890-07-29, https://en.wikipedia.org/wiki/Vincent_van_Gogh
Amelia Earhart, 1897-07-24, 1939-01-05, https://en.wikipedia.org/wiki/Amelia_Earhart
Jane Austen, 1775-02-16, 1817-07-18, https://en.wikipedia.org/wiki/Jane_Austen
George Orwell, 1903-06-25, 1950-01-21, https://en.wikipedia.org/wiki/George_Orwell
Amy Winehouse, 1983-09-14, 2011-07-23, https://en.wikipedia.org/wiki/Amy_Winehouse
Michael Jackson, 1958-08-29, 2009-06-25, https://en.wikipedia.org/wiki/Michael_Jackson
Chris Farley, 1964-02-15, 1997-12-18, https://en.wikipedia.org/wiki/Chris_Farley
Junior Seau, 1969-01-19, 2012-05-02, https://en.wikipedia.org/wiki/Junior_Seau
John Candy, 1950-10-31, 1994-03-04, https://en.wikipedia.org/wiki/John_Candy
Drazen Petrovic, 1964-10-22, 1993-06-07, https://en.wikipedia.org/wiki/Dra%C5%BEen_Petrovi%C4%87
Reggie Lewis, 1965-11-21, 1993-07-27, https://en.wikipedia.org/wiki/Reggie_Lewis
Edward VI, 1537-10-12, 1553-07-06, https://en.wikipedia.org/wiki/Edward_VI
Joan of Arc, 1412-05-30, 1431-05-30, https://en.wikipedia.org/wiki/Joan_of_Arc
Henry "Billy the Kid" McCarty, 1859-11-23, 1881-07-14, https://en.wikipedia.org/wiki/Billy_the_Kid
Jean-Michel Basquiat, 1960-12-22, 1988-08-12, https://en.wikipedia.org/wiki/Jean-Michel_Basquiat
Andy Warhol, 1928-08-06, 1987-02-22, https://en.wikipedia.org/wiki/Andy_Warhol
Louis Kahn, 1901-03-05, 1974-03-17, https://en.wikipedia.org/wiki/Louis_Kahn
Frank Lloyd Wright, 1867-06-08, 1959-04-09, https://en.wikipedia.org/wiki/Frank_Lloyd_Wright
John Harvard, 1607-11-29, 1638-09-14, https://en.wikipedia.org/wiki/John_Harvard_(clergyman)
Henry Wadsworth Longfellow, 1807-02-27, 1882-03-24, https://en.wikipedia.org/wiki/Henry_Wadsworth_Longfellow
Nathaniel Hawthorne, 1804-07-04, 1864-05-19, https://en.wikipedia.org/wiki/Nathaniel_Hawthorne
John Hawthorne, 1641-08-01, 1717-05-10, https://en.wikipedia.org/wiki/John_Hathorne
Ralph Waldo Emerson, 1803-05-25, 1882-04-27, https://en.wikipedia.org/wiki/Ralph_Waldo_Emerson
Henry David Thoreau, 1817-07-12, 1862-05-06, https://en.wikipedia.org/wiki/Henry_David_Thoreau
Charles Darwin, 1809-02-12, 1882-04-19, https://en.wikipedia.org/wiki/Charles_Darwin
John Wesley, 1703-06-17, 1791-03-02, https://en.wikipedia.org/wiki/John_Wesley
John Wayne, 1907-05-26, 1979-06-11, https://en.wikipedia.org/wiki/John_Wayne
Jim Thorpe, 1887-05-28, 1953-03-28, https://en.wikipedia.org/wiki/Jim_Thorpe
George Herman "Babe" Ruth, 1895-02-06, 1948-08-16, https://en.wikipedia.org/wiki/Jim_Thorpe
Joseph Jefferson "Shoeless Joe" Jackson, 1887-07-16, 1951-12-05, https://en.wikipedia.org/wiki/Shoeless_Joe_Jackson
Lou Gherig, 1903-06-19, 1941-06-02, https://en.wikipedia.org/wiki/Lou_Gehrig
Gary Cooper, 1901-05-07, 1961-05-13, https://en.wikipedia.org/wiki/Gary_Cooper
Humphrey Bogart, 1899-12-25, 1957-01-14, https://en.wikipedia.org/wiki/Humphrey_Bogart
Charles Lindbergh, 1902-02-04, 1974-08-26, https://en.wikipedia.org/wiki/Charles_Lindbergh
Steve Jobs, 1955-02-24, 2011-10-05, https://en.wikipedia.org/wiki/Steve_Jobs
Henry Ford, 1863-07-30, 1947-04-07, https://en.wikipedia.org/wiki/Henry_Ford
John D. Rockerfeller, 1839-07-08, 1937-05-23, https://en.wikipedia.org/wiki/John_D._Rockefeller
Thomas Edison, 1847-02-11, 1931-10-18, https://en.wikipedia.org/wiki/Thomas_Edison
Benjamin Franklin, 1706-01-17, 1790-04-17, https://en.wikipedia.org/wiki/Benjamin_Franklin
Alexander Hamilton, 1757-01-11, 1804-07-12, https://en.wikipedia.org/wiki/Alexander_Hamilton
Pablo Picasso, 1881-10-25, 1973-04-08, https://en.wikipedia.org/wiki/Pablo_Picasso
Leonardo da Vinci, 1452-04-15, 1519-05-02, https://en.wikipedia.org/wiki/Leonardo_da_Vinci
Gregor Mendel, 1822-07-20, 1884-01-06, https://en.wikipedia.org/wiki/Gregor_Mendel
Albert Einstein, 1879-03-14, 1955-04-18, https://en.wikipedia.org/wiki/Albert_Einstein
Stephen Hawking, 1942-01-08, 2018-03-14, https://en.wikipedia.org/wiki/Stephen_Hawking
Susan B. Anthony, 1820-02-15, 1906-03-13, https://en.wikipedia.org/wiki/Susan_B._Anthony
Woody Gutherie, 1912-07-14, 1967-10-03, https://en.wikipedia.org/wiki/Woody_Guthrie
John Steinbeck, 1902-02-07, 1968-12-20, https://en.wikipedia.org/wiki/John_Steinbeck
James "Captain Cook" Cook, 1728-11-07, 1779-02-14, https://en.wikipedia.org/wiki/James_Cook
Christopher Columbus, 1451-08-25, 1506-05-20, https://en.wikipedia.org/wiki/Christopher_Columbus
Marie Curie, 1867-11-07, 1934-07-04, https://en.wikipedia.org/wiki/Marie_Curie
J. Robert Oppenheimer, 1904-04-22, 1967-02-18, https://en.wikipedia.org/wiki/J._Robert_Oppenheimer
Ada Lovelace, 1815-12-10, 1852-11-27, https://en.wikipedia.org/wiki/Ada_Lovelace
Grace Hopper, 1906-12-09, 1992-01-01, https://en.wikipedia.org/wiki/Grace_Hopper
Mary Shelley, 1797-08-30, 1851-02-01, https://en.wikipedia.org/wiki/Mary_Shelley
Alan Turning, 1912-06-23, 1954-06-07, https://en.wikipedia.org/wiki/Alan_Turing
Annie Oakley, 1860-08-13, 1926-11-03, https://en.wikipedia.org/wiki/Annie_Oakley
John Henry "Doc" Holliday, 1851-08-14, 1887-11-08, https://en.wikipedia.org/wiki/Doc_Holliday
Johnny Ringo, 1850-05-03, 1882-07-13, https://en.wikipedia.org/wiki/Johnny_Ringo
